Motion Sensor Data File Oct 20, 2022 11:11 AM
Time (s)	Velocity (cm/s)
0.000	NaN
0.010	-38.528
0.020	-43.688
0.030	-41.108
0.040	-39.345
0.050	-36.378
0.060	-38.528
0.070	-35.948
0.080	-37.238
0.090	-30.788
0.100	-26.058
0.110	-27.305
0.120	-25.628
0.130	-24.768
0.140	-14.018
0.150	-19.608
0.160	-11.438
0.170	-2.838
0.180	-2.838
0.190	-0.688
0.200	1.505
0.210	4.472
0.220	8.342
0.230	15.222
0.240	12.642
0.250	18.662
0.260	18.662
0.270	11.782
0.280	27.262
0.290	48.762
0.300	33.712
0.310	37.582
0.320	37.582
0.330	38.012
0.340	40.592
0.350	38.872
0.360	39.302
0.370	29.412
0.380	43.172
0.390	45.365
0.400	41.022
0.410	39.732
0.420	31.992
0.430	44.892
0.440	39.302
0.450	38.012
0.460	35.002
0.470	32.852
0.480	29.842
0.490	26.832
0.500	-1.118
0.510	21.242
0.520	40.162
0.530	-0.258
0.540	23.822
0.550	6.622
0.560	2.752
0.570	-1.935
0.580	-4.128
0.590	-7.138
0.600	-10.148
0.610	-13.158
0.620	-16.168
0.630	-18.748
0.640	-22.618
0.650	-24.338
0.660	-26.875
0.670	-49.708
0.680	-10.148
0.690	-61.748
0.700	-13.588
0.710	-35.518
0.720	-41.538
0.730	-38.485
0.740	-43.258
0.750	-38.528
0.760	-39.818
0.770	-45.838
0.780	-38.528
0.790	-42.355
0.800	-39.818
0.810	-39.818
0.820	-34.228
0.830	-34.228
0.840	-32.078
0.850	-29.498
0.860	-27.305
0.870	-24.338
0.880	-23.478
0.890	-18.748
0.900	-17.028
0.910	-11.868
0.920	-22.618
0.930	-9.718
0.940	-9.245
0.950	0.602
0.960	3.182
0.970	31.992
0.980	12.212
0.990	13.072
1.000	18.232
1.010	5.762
1.020	17.802
1.030	43.172
1.040	29.412
1.050	31.132
1.060	33.282
1.070	36.292
1.080	37.152
1.090	42.742
1.100	39.732
1.110	41.022
1.120	39.345
1.130	43.172
1.140	41.452
1.150	35.002
1.160	43.602
1.170	38.442
1.180	40.592
1.190	33.282
1.200	33.282
1.210	16.082
1.220	26.832
1.230	25.112
1.240	29.842
1.250	30.272
1.260	17.372
1.270	18.232
1.280	37.582
1.290	13.072
1.300	7.482
1.310	5.332
1.320	3.655
1.330	-1.978
1.340	-7.568
1.350	-8.858
1.360	-11.868
1.370	-17.028
1.380	-18.748
1.390	-21.328
1.400	-24.725
1.410	-27.348
1.420	-29.498
1.430	-31.648
1.440	-32.938
1.450	-58.308
1.460	-32.938
1.470	-17.845
1.480	-38.528
1.490	-37.238
1.500	-63.898
1.510	-37.238
1.520	-26.058
1.530	-61.748
1.540	-42.785
1.550	-37.668
1.560	-33.798
1.570	-31.218
1.580	-33.368
1.590	-35.088
1.600	-31.605
1.610	-15.308
1.620	-26.918
1.630	-23.048
1.640	-14.878
1.650	-21.758
1.660	-12.728
1.670	-11.868
1.680	-11.008
1.690	-3.225
1.700	-0.258
1.710	-16.168
1.720	1.032
1.730	12.642
1.740	32.422
1.750	17.802
1.760	21.672
1.770	22.962
1.780	22.962
1.790	23.822
1.800	29.412
1.810	30.272
1.820	19.092
1.830	28.165
1.840	36.722
1.850	38.872
1.860	39.732
1.870	39.732
1.880	40.162
1.890	41.022
1.900	41.022
1.910	39.732
1.920	40.162
1.930	39.732
1.940	38.442
1.950	33.712
1.960	31.992
1.970	38.012
1.980	25.972
1.990	30.272
2.000	31.562
2.010	25.542
2.020	40.592
2.030	15.222
2.040	13.932
2.050	-15.695
2.060	-23.478
2.070	-34.228
2.080	-21.328
2.090	83.592
2.100	-28.208
2.110	16.082
2.120	-10.578
2.130	-17.028
2.140	-18.318
2.150	-20.855
2.160	-25.198
2.170	-52.718
2.180	-106.038
2.190	-24.768
2.200	-45.838
2.210	-35.475
2.220	-36.378
2.230	-5.418
2.240	31.992
2.250	-36.808
2.260	-106.898
2.270	-41.968
2.280	-7.525
2.290	11.352
2.300	-125.388
2.310	-39.818
2.320	-0.688
2.330	-10.578
2.340	-29.498
2.350	-4.558
2.360	-29.025
2.370	-28.208
2.380	-24.768
2.390	-17.458
2.400	-20.898
2.410	-14.448
2.420	-14.018
2.430	-36.335
2.440	20.812
2.450	-3.268
2.460	-0.258
2.470	3.182
2.480	5.332
2.490	-11.868
2.500	36.292
2.510	18.232
2.520	22.102
2.530	22.532
2.540	25.542
2.550	25.972
2.560	27.262
2.570	29.885
2.580	23.392
2.590	27.262
2.600	35.002
2.610	35.862
2.620	38.442
2.630	39.302
2.640	11.352
2.650	62.092
2.660	44.892
2.670	40.162
2.680	38.012
2.690	37.152
2.700	35.002
2.710	31.132
2.720	33.282
2.730	32.422
2.740	31.132
2.750	31.132
2.760	28.552
2.770	39.302
2.780	17.372
2.790	5.762
2.800	-1.505
2.810	3.612
2.820	4.042
2.830	2.322
2.840	17.802
2.850	-1.118
2.860	-7.998
2.870	-11.008
2.880	-13.588
2.890	-16.598
2.900	-19.135
2.910	-23.048
2.920	-46.698
2.930	-27.348
2.940	-30.358
2.950	-30.788
2.960	-22.618
2.970	-25.585
2.980	-37.238
2.990	-40.248
3.000	-39.818
3.010	-39.818
3.020	-39.818
3.030	-39.388
3.040	-40.635
3.050	-37.668
3.060	-38.958
3.070	-34.228
3.080	-34.658
3.090	-33.798
3.100	-32.895
3.110	-31.218
3.120	-32.938
3.130	-27.778
3.140	-22.618
3.150	-33.368
3.160	-8.428
3.170	-14.018
3.180	-10.965
3.190	-7.998
3.200	-4.988
3.210	14.362
3.220	2.752
3.230	7.482
3.240	4.902
3.250	-3.268
3.260	28.982
3.270	4.472
3.280	14.362
3.290	30.702
3.300	26.402
3.310	29.025
3.320	32.852
3.330	36.722
3.340	41.022
3.350	37.582
3.360	14.362
3.370	36.292
3.380	38.012
3.390	39.302
3.400	40.162
3.410	39.302
3.420	-25.628
3.430	42.742
3.440	39.732
3.450	68.542
3.460	-2.838
3.470	29.842
3.480	36.722
3.490	64.242
3.500	30.702
3.510	55.212
3.520	24.682
3.530	23.392
3.540	16.985
3.550	32.852
3.560	-15.308
3.570	-135.278
3.580	-405.705
3.590	4.902
3.600	32.852
3.610	367.779
3.620	93.912
3.630	22.962
3.640	-14.835
3.650	-19.178
3.660	-20.468
3.670	-25.198
3.680	-27.778
3.690	-118.508
3.700	-12.728
3.710	-53.105
3.720	-13.158
3.730	-37.238
3.740	1.892
3.750	-4.128
3.760	-39.388
3.770	-39.388
3.780	-40.248
3.790	-28.595
3.800	-47.128
3.810	-38.528
3.820	-41.968
3.830	-37.668
3.840	-7.998
3.850	-33.325
3.860	-31.648
3.870	-29.928
3.880	-27.348
3.890	-21.328
3.900	-22.188
3.910	-18.748
3.920	-11.438
3.930	-13.115
3.940	-12.298
3.950	-7.138
3.960	-2.408
3.970	0.172
3.980	-1.548
3.990	-12.298
4.000	7.052
4.010	33.712
4.020	-4.128
4.030	41.882
4.040	21.672
4.050	10.105
4.060	28.552
4.070	30.272
4.080	32.422
4.090	30.702
4.100	38.872
4.110	36.292
4.120	17.372
4.130	37.152
4.140	38.012
4.150	41.452
4.160	37.582
4.170	37.152
4.180	38.012
4.190	38.872
4.200	37.582
4.210	36.292
4.220	34.142
4.230	34.572
4.240	45.322
4.250	32.852
4.260	25.542
4.270	22.962
4.280	20.425
4.290	17.802
4.300	14.792
4.310	11.352
4.320	-14.878
4.330	6.622
4.340	2.752
