velocity Oct 20, 2022 10:08 AM
Time (s)	Velocity (cm/s)
0.260	NaN
0.270	-6.708
0.280	-1.118
0.290	3.612
0.300	9.632
0.310	14.362
0.320	21.242
0.330	25.972
0.340	30.272
0.350	35.002
0.360	38.872
0.370	41.452
0.380	48.332
0.390	49.622
0.400	54.352
0.410	56.502
0.420	57.792
0.430	59.942
0.440	60.802
0.450	62.522
0.460	63.382
0.470	62.092
0.480	62.522
0.490	61.662
0.500	59.082
0.510	56.975
0.520	56.072
0.530	24.252
0.540	23.392
0.550	0.602
0.560	11.782
0.570	4.472
0.580	0.172
0.590	-1.118
0.600	-4.128
0.610	4.042
0.620	1.462
0.630	-4.515
0.640	0.602
0.650	0.602
0.660	1.462
0.670	0.602
0.680	2.322
0.690	-4.128
0.700	1.032
0.710	-1.978
0.720	-6.278
0.730	18.275
0.740	-38.098
0.750	-12.298
0.760	-30.358
0.770	-56.588
0.780	-57.448
0.790	-59.168
0.800	-60.845
0.810	-63.038
0.820	-62.178
0.830	-61.748
0.840	-62.178
0.850	-61.275
0.860	-59.598
0.870	-57.878
0.880	-56.158
0.890	-53.148
0.900	-49.665
0.910	-46.698
0.920	-41.968
0.930	-38.528
0.940	-34.658
0.950	-30.358
0.960	-24.725
0.970	-20.898
0.980	-13.158
0.990	-9.288
1.000	-4.558
1.010	0.602
1.020	7.912
1.030	10.922
1.040	17.802
1.050	22.102
1.060	6.622
1.070	27.735
1.080	35.002
1.090	49.622
1.100	63.812
1.110	47.902
1.120	52.632
1.130	54.782
1.140	56.502
1.150	59.512
1.160	61.232
1.170	60.802
1.180	62.522
1.190	62.522
1.200	62.522
1.210	61.232
1.220	60.372
1.230	58.652
1.240	56.502
1.250	53.062
1.260	47.902
1.270	-12.728
1.280	3.182
1.290	4.042
1.300	-26.058
1.310	9.202
1.320	15.222
1.330	-11.395
1.340	9.632
1.350	0.172
1.360	-26.488
1.370	-0.258
1.380	2.752
1.390	25.542
1.400	-2.408
1.410	1.032
1.420	1.892
1.430	0.645
1.440	1.032
1.450	-2.838
1.460	-5.848
1.470	-12.298
1.480	-26.058
1.490	-53.148
1.500	-56.588
1.510	-57.835
1.520	-60.028
1.530	-60.888
1.540	-63.038
1.550	-61.748
1.560	-61.275
1.570	-61.318
1.580	-60.458
1.590	-58.308
1.600	-55.298
1.610	-55.685
1.620	-51.428
1.630	-47.128
1.640	-44.118
1.650	-41.538
1.660	-35.948
1.670	-31.605
1.680	-28.208
1.690	-20.468
1.700	-18.318
1.710	-11.008
1.720	-6.278
1.730	-1.118
1.740	4.472
1.750	9.202
1.760	13.545
1.770	19.952
1.780	25.972
1.790	29.842
1.800	34.572
1.810	38.442
1.820	42.312
1.830	46.612
1.840	49.192
1.850	53.922
1.860	56.072
1.870	57.362
1.880	59.512
1.890	61.662
1.900	60.802
1.910	62.092
1.920	61.662
1.930	61.662
1.940	60.802
1.950	59.512
1.960	56.932
1.970	56.072
1.980	51.772
1.990	10.922
2.000	-9.718
2.010	6.622
2.020	-19.135
2.030	-0.688
2.040	-0.258
2.050	25.542
2.060	-3.268
2.070	1.462
2.080	1.032
2.090	-20.468
2.100	9.202
2.110	11.352
2.120	-12.298
2.130	-4.085
2.140	16.082
2.150	-25.628
2.160	-0.258
2.170	6.622
2.180	13.932
2.190	-0.258
2.200	-14.878
2.210	-52.288
2.220	-55.685
2.230	-56.588
2.240	-59.168
2.250	-60.028
2.260	-61.748
2.270	-62.565
2.280	-61.748
