Object Tracking Data File Tue, Nov 22, 2022 10:05 AM
X (pixels)  	Y (pixels)  
617.92	156.26
618.83	156.27
619.34	154.70
616.26	156.57
539.21	123.14
539.24	132.11
546.56	135.13
550.01	134.42
544.86	124.28
547.49	126.68
548.96	127.97
551.78	125.96
557.12	121.90
565.71	117.65
564.81	117.81
561.29	117.36
567.12	116.24
564.36	111.90
563.99	105.10
555.75	105.21
544.29	108.84
541.67	112.82
540.45	111.92
542.48	120.79
546.32	118.36
544.82	120.42
544.41	114.80
542.74	109.10
542.28	109.67
544.24	109.36
550.34	105.81
550.64	110.25
553.05	109.64
610.59	117.84
621.89	125.93
622.06	127.74
616.64	130.34
615.29	125.89
611.72	128.05
615.75	134.74
614.59	131.35
614.62	131.86
617.97	131.81
616.80	130.15
618.99	130.41
619.92	120.12
618.02	116.02
618.28	113.12
618.76	110.52
618.33	107.65
615.90	110.28
612.02	116.29
608.06	110.19
609.88	108.04
609.40	112.64
616.14	112.23
616.30	109.58
616.34	110.70
616.67	115.08
616.43	117.00
614.65	115.98
606.77	113.72
607.19	117.33
600.66	119.43
599.01	122.57
600.69	119.67
598.50	118.55
600.69	113.52
610.43	106.39
597.97	108.26
597.62	114.25
602.76	113.87
592.44	111.40
607.77	99.39
606.48	95.36
597.97	101.07
602.83	104.05
604.90	105.30
602.19	101.09
611.15	102.52
610.23	100.07
618.14	92.59
620.11	87.55
633.40	88.07
623.10	82.35
635.59	78.74
620.12	75.26
617.60	77.13
615.68	78.48
622.34	80.88
568.66	61.02
609.13	70.38
625.23	79.29
625.91	79.89
626.30	80.58
618.15	85.21
624.52	85.44
625.26	86.71
624.01	85.59
607.17	83.49
607.63	81.15
612.70	74.82
607.76	79.45
567.75	81.91
605.87	86.91
625.43	83.06
622.88	82.49
618.82	89.49
620.83	87.44
606.09	90.12
619.82	88.82
606.14	89.79
604.52	92.66
606.46	97.11
604.50	98.02
603.99	100.15
609.26	103.60
605.41	105.70
602.62	109.76
598.85	105.87
