Object Tracking Data File Tue, Nov 22, 2022 10:08 AM
X (pixels)  	Y (pixels)  
1262.26	198.12
1263.95	207.15
1264.24	208.07
1262.43	207.10
1260.93	210.75
1261.31	208.81
1263.83	218.79
1264.87	219.48
1263.51	215.15
1258.06	214.75
1260.42	220.08
1260.05	224.87
1255.36	226.40
1253.54	228.45
1253.28	229.11
1252.54	233.41
1249.95	232.91
1253.78	233.43
1254.95	231.18
1252.96	231.39
1250.81	231.34
1248.06	228.95
1250.07	227.27
1249.92	230.82
1252.12	228.93
1251.30	231.63
1253.38	235.31
1256.17	243.13
1253.72	240.70
1254.02	241.52
1250.98	241.31
1253.75	243.92
1252.57	239.50
1250.30	236.48
1252.29	236.50
1257.07	240.48
1259.26	240.18
1258.71	239.53
1257.33	240.74
1258.44	236.70
1255.23	235.05
1253.23	234.85
1253.26	238.20
1256.42	237.93
1258.27	236.39
1260.42	241.62
1262.16	239.46
1262.54	242.45
1264.06	244.13
1262.70	241.15
1261.17	238.90
1259.55	232.18
1257.97	228.10
1258.14	227.75
1261.83	222.79
1259.18	221.71
1259.20	218.79
1258.21	214.27
1256.76	213.12
1257.88	218.74
1256.53	218.61
1255.64	219.42
1257.70	223.38
1256.76	224.65
1250.64	224.41
1251.54	227.50
1246.45	223.68
1245.68	220.86
1242.09	219.67
1244.48	216.10
1243.92	216.88
1241.07	219.71
1238.37	221.35
1240.41	217.79
1237.56	216.25
1236.15	215.09
1238.23	214.78
1239.14	216.47
1243.69	216.53
1238.69	213.01
1239.40	212.72
1240.61	213.18
1238.01	217.36
1241.74	216.98
1243.28	215.72
1249.13	216.20
1250.89	213.85
1254.32	215.93
1252.66	211.47
1250.74	209.68
1248.19	210.03
1250.29	209.38
1251.81	209.44
1247.78	208.72
1243.68	207.08
1244.89	206.98
1240.84	207.83
1236.52	207.55
1236.96	213.89
1239.24	214.45
1237.60	213.28
1241.61	213.72
1239.02	208.74
1235.13	204.64
1237.79	206.29
1239.87	202.54
1235.93	202.39
1237.18	204.79
1236.74	203.17
1236.43	209.40
1235.85	210.64
1235.21	213.74
1233.19	207.74
1229.44	210.03
1227.44	208.97
1225.12	213.18
1223.25	211.43
1219.31	215.52
1221.48	218.67
1222.20	218.45
